# full-loop .dat — generated by util/make_loop_dat.py
# topology=full, half-length=20.0 Mm, apex_T=2.00 MK, footpoint |B|=643.0 G (uniform)
# chromosphere: Model C7 (two-fluid); TR+corona: hydrostatic, fully ionized (single-fluid via F_SLAVE)
# Units: SI (m, T, K, m^-3, J/kg)

[META]
ns=456
g_si=274.0
B_outer_T=6.430000e-02
phi_g_offset_Jpkg=0.0
topology=full
loop_half_length_m=2.000000e+07

[CELLS]
# i  ds_m         B_imh_T      B_iph_T      phi_g_imh    phi_g_iph    ne_im3       nn_im3       T_K
0  1.100000e+04  6.430000e-02  6.430000e-02  0.000000e+00  3.014000e+06  1.925379e+17  2.595517e+19  6.242069e+03
1  1.100000e+04  6.430000e-02  6.430000e-02  3.014000e+06  6.027997e+06  1.970138e+17  2.400552e+19  6.276207e+03
2  1.100000e+04  6.430000e-02  6.430000e-02  6.027997e+06  9.041990e+06  2.014896e+17  2.205587e+19  6.310345e+03
3  1.100000e+04  6.430000e-02  6.430000e-02  9.041990e+06  1.205598e+07  2.041151e+17  2.047440e+19  6.339470e+03
4  1.100000e+04  6.430000e-02  6.430000e-02  1.205598e+07  1.506995e+07  2.064485e+17  1.895108e+19  6.367803e+03
5  1.100000e+04  6.430000e-02  6.430000e-02  1.506995e+07  1.808392e+07  2.087818e+17  1.742776e+19  6.396136e+03
6  1.100000e+04  6.430000e-02  6.430000e-02  1.808392e+07  2.109787e+07  2.094430e+17  1.621198e+19  6.419527e+03
7  1.100000e+04  6.430000e-02  6.430000e-02  2.109787e+07  2.411181e+07  2.098403e+17  1.504478e+19  6.442138e+03
8  1.100000e+04  6.430000e-02  6.430000e-02  2.411181e+07  2.712573e+07  2.102375e+17  1.387759e+19  6.464748e+03
9  1.100000e+04  6.430000e-02  6.430000e-02  2.712573e+07  3.013963e+07  2.087134e+17  1.288783e+19  6.482820e+03
10  1.100000e+04  6.430000e-02  6.430000e-02  3.013963e+07  3.315350e+07  2.058587e+17  1.202096e+19  6.497748e+03
11  1.100000e+04  6.430000e-02  6.430000e-02  3.315350e+07  3.616735e+07  2.030041e+17  1.115409e+19  6.512676e+03
12  1.100000e+04  6.430000e-02  6.430000e-02  3.616735e+07  3.918118e+07  2.001495e+17  1.028723e+19  6.527604e+03
13  1.100000e+04  6.430000e-02  6.430000e-02  3.918118e+07  4.219497e+07  1.966877e+17  9.639080e+18  6.536385e+03
14  1.100000e+04  6.430000e-02  6.430000e-02  4.219497e+07  4.520873e+07  1.930472e+17  9.055348e+18  6.543357e+03
15  1.100000e+04  6.430000e-02  6.430000e-02  4.520873e+07  4.822246e+07  1.894066e+17  8.471623e+18  6.550328e+03
16  1.100000e+04  6.430000e-02  6.430000e-02  4.822246e+07  5.123616e+07  1.857661e+17  7.887904e+18  6.557299e+03
17  1.100000e+04  6.430000e-02  6.430000e-02  5.123616e+07  5.424981e+07  1.821257e+17  7.304192e+18  6.564270e+03
18  1.100000e+04  6.430000e-02  6.430000e-02  5.424981e+07  5.726343e+07  1.784853e+17  6.720488e+18  6.571241e+03
19  1.100000e+04  6.430000e-02  6.430000e-02  5.726343e+07  6.027700e+07  1.748874e+17  6.211926e+18  6.576903e+03
20  1.100000e+04  6.430000e-02  6.430000e-02  6.027700e+07  6.329053e+07  1.713808e+17  5.865025e+18  6.579750e+03
21  1.100000e+04  6.430000e-02  6.430000e-02  6.329053e+07  6.630401e+07  1.678743e+17  5.518129e+18  6.582596e+03
22  1.100000e+04  6.430000e-02  6.430000e-02  6.630401e+07  6.931744e+07  1.643679e+17  5.171239e+18  6.585443e+03
23  1.100000e+04  6.430000e-02  6.430000e-02  6.931744e+07  7.233082e+07  1.608615e+17  4.824354e+18  6.588290e+03
24  1.100000e+04  6.430000e-02  6.430000e-02  7.233082e+07  7.534414e+07  1.573552e+17  4.477476e+18  6.591136e+03
25  1.100000e+04  6.430000e-02  6.430000e-02  7.534414e+07  7.835741e+07  1.538490e+17  4.130604e+18  6.593982e+03
26  1.100000e+04  6.430000e-02  6.430000e-02  7.835741e+07  8.137062e+07  1.503428e+17  3.783738e+18  6.596829e+03
27  1.100000e+04  6.430000e-02  6.430000e-02  8.137062e+07  8.438377e+07  1.485666e+17  3.525885e+18  6.598784e+03
28  1.100000e+04  6.430000e-02  6.430000e-02  8.438377e+07  8.739686e+07  1.480001e+17  3.330276e+18  6.600117e+03
29  1.100000e+04  6.430000e-02  6.430000e-02  8.739686e+07  9.040988e+07  1.474336e+17  3.134670e+18  6.601450e+03
30  1.100000e+04  6.430000e-02  6.430000e-02  9.040988e+07  9.342283e+07  1.468672e+17  2.939069e+18  6.602783e+03
31  1.100000e+04  6.430000e-02  6.430000e-02  9.342283e+07  9.643571e+07  1.463007e+17  2.743473e+18  6.604116e+03
32  1.100000e+04  6.430000e-02  6.430000e-02  9.643571e+07  9.944853e+07  1.457342e+17  2.547881e+18  6.605449e+03
33  1.100000e+04  6.430000e-02  6.430000e-02  9.944853e+07  1.024613e+08  1.451678e+17  2.352294e+18  6.606782e+03
34  1.100000e+04  6.430000e-02  6.430000e-02  1.024613e+08  1.054739e+08  1.446014e+17  2.156712e+18  6.608114e+03
35  1.100000e+04  6.430000e-02  6.430000e-02  1.054739e+08  1.084865e+08  1.440350e+17  1.961134e+18  6.609447e+03
36  1.100000e+04  6.430000e-02  6.430000e-02  1.084865e+08  1.114990e+08  1.437209e+17  1.822816e+18  6.610686e+03
37  1.100000e+04  6.430000e-02  6.430000e-02  1.114990e+08  1.145114e+08  1.435857e+17  1.725092e+18  6.611857e+03
38  1.100000e+04  6.430000e-02  6.430000e-02  1.145114e+08  1.175238e+08  1.434506e+17  1.627371e+18  6.613029e+03
39  1.100000e+04  6.430000e-02  6.430000e-02  1.175238e+08  1.205360e+08  1.433154e+17  1.529653e+18  6.614200e+03
40  1.100000e+04  6.430000e-02  6.430000e-02  1.205360e+08  1.235482e+08  1.431802e+17  1.431937e+18  6.615371e+03
41  1.100000e+04  6.430000e-02  6.430000e-02  1.235482e+08  1.265602e+08  1.430451e+17  1.334225e+18  6.616543e+03
42  1.100000e+04  6.430000e-02  6.430000e-02  1.265602e+08  1.295722e+08  1.429099e+17  1.236516e+18  6.617714e+03
43  1.100000e+04  6.430000e-02  6.430000e-02  1.295722e+08  1.325841e+08  1.427747e+17  1.138809e+18  6.618886e+03
44  1.100000e+04  6.430000e-02  6.430000e-02  1.325841e+08  1.355958e+08  1.426396e+17  1.041106e+18  6.620057e+03
45  1.100000e+04  6.430000e-02  6.430000e-02  1.355958e+08  1.386075e+08  1.425045e+17  9.434063e+17  6.621228e+03
46  1.100000e+04  6.430000e-02  6.430000e-02  1.386075e+08  1.416191e+08  1.423693e+17  8.457097e+17  6.622399e+03
47  1.100000e+04  6.430000e-02  6.430000e-02  1.416191e+08  1.446305e+08  1.414390e+17  7.738333e+17  6.623552e+03
48  1.100000e+04  6.430000e-02  6.430000e-02  1.446305e+08  1.476419e+08  1.396715e+17  7.291460e+17  6.624685e+03
49  1.100000e+04  6.430000e-02  6.430000e-02  1.476419e+08  1.506531e+08  1.379040e+17  6.844603e+17  6.625818e+03
50  1.100000e+04  6.430000e-02  6.430000e-02  1.506531e+08  1.536643e+08  1.361366e+17  6.397763e+17  6.626951e+03
51  1.100000e+04  6.430000e-02  6.430000e-02  1.536643e+08  1.566753e+08  1.343692e+17  5.950939e+17  6.628084e+03
52  1.100000e+04  6.430000e-02  6.430000e-02  1.566753e+08  1.596862e+08  1.326019e+17  5.504133e+17  6.629217e+03
53  1.100000e+04  6.430000e-02  6.430000e-02  1.596862e+08  1.626970e+08  1.308347e+17  5.057344e+17  6.630350e+03
54  1.100000e+04  6.430000e-02  6.430000e-02  1.626970e+08  1.657076e+08  1.290676e+17  4.610573e+17  6.631482e+03
55  1.100000e+04  6.430000e-02  6.430000e-02  1.657076e+08  1.687182e+08  1.273005e+17  4.163820e+17  6.632615e+03
56  1.100000e+04  6.430000e-02  6.430000e-02  1.687182e+08  1.717286e+08  1.250421e+17  3.867212e+17  6.633691e+03
57  1.100000e+04  6.430000e-02  6.430000e-02  1.717286e+08  1.747389e+08  1.225309e+17  3.647897e+17  6.634737e+03
58  1.100000e+04  6.430000e-02  6.430000e-02  1.747389e+08  1.777490e+08  1.200198e+17  3.428592e+17  6.635783e+03
59  1.100000e+04  6.430000e-02  6.430000e-02  1.777490e+08  1.807590e+08  1.175087e+17  3.209296e+17  6.636830e+03
60  1.100000e+04  6.430000e-02  6.430000e-02  1.807590e+08  1.837689e+08  1.149978e+17  2.990010e+17  6.637876e+03
61  1.100000e+04  6.430000e-02  6.430000e-02  1.837689e+08  1.867787e+08  1.124870e+17  2.770734e+17  6.638922e+03
