# full-loop .dat — generated by util/make_loop_dat.py
# topology=open, half-length=80.0 Mm, apex_T=2.00 MK, footpoint |B|=351.9 G (uniform)
# chromosphere: Model C7 (two-fluid); TR+corona: hydrostatic, fully ionized (single-fluid via F_SLAVE)
# Units: SI (m, T, K, m^-3, J/kg)

[META]
ns=378
g_si=274.0
B_outer_T=3.519000e-02
phi_g_offset_Jpkg=0.0
topology=open
loop_half_length_m=8.000000e+07

[CELLS]
# i  ds_m         B_imh_T      B_iph_T      phi_g_imh    phi_g_iph    ne_im3       nn_im3       T_K
0  1.100000e+04  3.519000e-02  3.519000e-02  0.000000e+00  3.014000e+06  1.925379e+17  2.595517e+19  6.242069e+03
1  1.100000e+04  3.519000e-02  3.519000e-02  3.014000e+06  6.028000e+06  1.970138e+17  2.400552e+19  6.276207e+03
2  1.100000e+04  3.519000e-02  3.519000e-02  6.028000e+06  9.042000e+06  2.014897e+17  2.205586e+19  6.310345e+03
3  1.100000e+04  3.519000e-02  3.519000e-02  9.042000e+06  1.205600e+07  2.041152e+17  2.047439e+19  6.339470e+03
4  1.100000e+04  3.519000e-02  3.519000e-02  1.205600e+07  1.507000e+07  2.064485e+17  1.895106e+19  6.367803e+03
5  1.100000e+04  3.519000e-02  3.519000e-02  1.507000e+07  1.808400e+07  2.087818e+17  1.742773e+19  6.396136e+03
6  1.100000e+04  3.519000e-02  3.519000e-02  1.808400e+07  2.109800e+07  2.094431e+17  1.621194e+19  6.419528e+03
7  1.100000e+04  3.519000e-02  3.519000e-02  2.109800e+07  2.411200e+07  2.098403e+17  1.504472e+19  6.442139e+03
8  1.100000e+04  3.519000e-02  3.519000e-02  2.411200e+07  2.712600e+07  2.102375e+17  1.387750e+19  6.464750e+03
9  1.100000e+04  3.519000e-02  3.519000e-02  2.712600e+07  3.014000e+07  2.087131e+17  1.288774e+19  6.482821e+03
10  1.100000e+04  3.519000e-02  3.519000e-02  3.014000e+07  3.315400e+07  2.058583e+17  1.202083e+19  6.497750e+03
11  1.100000e+04  3.519000e-02  3.519000e-02  3.315400e+07  3.616800e+07  2.030036e+17  1.115393e+19  6.512679e+03
12  1.100000e+04  3.519000e-02  3.519000e-02  3.616800e+07  3.918200e+07  2.001488e+17  1.028702e+19  6.527607e+03
13  1.100000e+04  3.519000e-02  3.519000e-02  3.918200e+07  4.219600e+07  1.966866e+17  9.638901e+18  6.536387e+03
14  1.100000e+04  3.519000e-02  3.519000e-02  4.219600e+07  4.521000e+07  1.930458e+17  9.055127e+18  6.543359e+03
